vessel_id,vessel_type,month,speed_knots,course_change_deg,distance_to_route_nm,draught_m,wind_speed_knots,visibility_nm,traffic_density,signal_gap_minutes,anomaly
V01121,container,3,9.53,6.82,8.77,2.05,18.2,12.15,0.6261,15.48,0
V01122,passenger,9,4.72,8.68,34.58,5.84,1.66,14.99,0.5987,18.74,0
V01123,container,9,12.77,3.06,20.34,5.65,16.1,5.94,0.1623,4.79,1
V01124,container,5,16.8,0.51,5.26,11.33,8.62,8.33,0.4225,1.27,0
V01125,passenger,1,14.83,4.86,2.43,8.05,7.16,7.07,0.3348,4.62,0
V01126,passenger,10,12.24,18.39,32.0,10.34,9.49,12.4,0.0219,0.82,0
V01127,passenger,9,14.55,3.68,8.76,7.43,16.9,7.49,0.7668,7.16,0
V01128,cargo,9,9.71,5.9,7.04,8.93,2.09,11.67,0.6384,0.75,0
V01129,cargo,3,7.23,10.16,3.96,3.41,7.1,11.12,0.2999,3.55,0
V01130,tanker,3,13.24,18.13,11.68,8.71,8.49,8.24,0.4799,3.29,0
V01131,tanker,12,9.36,2.66,8.8,4.97,15.24,2.65,0.439,0.96,0
V01132,cargo,1,4.65,6.03,11.99,5.62,20.06,7.09,0.2865,1.52,0
V01133,container,8,14.48,10.63,6.92,9.63,12.56,4.74,0.4154,2.73,0
V01134,tanker,8,10.19,1.05,5.2,6.08,3.75,11.75,0.3429,5.45,0
V01135,container,1,8.25,5.46,21.58,7.09,8.28,7.19,0.7387,4.46,0
V01136,container,7,6.1,3.75,5.18,9.51,7.11,11.33,0.2333,0.63,0
V01137,cargo,5,10.97,5.71,11.79,9.18,9.7,10.46,0.748,1.1,0
V01138,tanker,10,12.38,6.01,9.66,7.8,7.19,5.43,0.2769,2.37,0
V01139,cargo,4,10.65,5.16,10.48,8.98,1.74,11.59,0.3946,2.96,0
V01140,cargo,7,10.7,0.82,4.83,9.15,12.02,9.72,0.7686,2.05,0
V01141,cargo,3,7.23,5.31,11.91,6.7,1.35,5.44,0.6546,0.05,0
V01142,cargo,11,18.75,4.17,2.45,7.71,9.54,2.74,0.1264,2.19,0
V01143,cargo,10,12.21,6.94,9.64,7.04,1.73,3.95,0.3555,1.46,0
V01144,cargo,4,12.56,16.8,13.68,6.62,7.43,7.17,0.4878,5.65,0
V01145,container,5,9.64,2.49,7.28,4.76,3.87,10.15,0.4791,0.05,0
V01146,container,11,10.23,10.09,2.48,6.76,8.06,8.9,0.3303,2.19,0
V01147,tanker,6,10.52,2.05,9.9,7.02,1.52,7.89,0.3342,2.46,0
V01148,cargo,1,17.58,7.19,16.19,10.13,4.73,10.2,0.8495,1.92,0
V01149,cargo,7,10.63,1.31,3.85,3.61,10.89,6.84,0.4116,1.05,0
V01150,container,3,10.98,5.23,36.76,9.79,6.41,9.89,0.9362,3.2,1
V01151,cargo,12,9.82,15.41,6.89,4.0,13.77,9.5,0.6271,2.9,0
V01152,container,8,10.88,9.84,36.7,10.6,0.86,11.2,0.5419,13.14,1
V01153,cargo,12,8.05,11.44,11.58,11.0,2.22,8.58,0.6125,1.91,0
V01154,container,11,9.86,1.94,5.88,10.5,10.43,5.79,0.5012,1.65,1
V01155,container,11,16.13,3.05,7.79,8.91,15.96,13.34,0.5957,20.05,0
V01156,passenger,7,8.59,1.11,21.97,7.37,2.96,8.7,0.3733,3.29,1
V01157,container,5,13.14,0.01,10.84,6.48,17.3,5.39,0.2163,3.34,0
V01158,tanker,7,12.54,10.98,14.01,5.39,13.57,10.29,0.2574,2.42,0
V01159,tanker,10,18.9,1.47,9.06,8.53,10.85,9.02,0.1965,3.71,1
V01160,cargo,9,11.08,3.18,4.19,8.66,5.12,10.07,0.5497,1.62,0
V01161,tanker,11,11.42,4.96,5.94,7.96,0.28,7.57,0.7367,1.71,0
V01162,container,1,10.57,10.77,6.37,6.11,8.11,7.92,0.3702,5.63,0
V01163,container,3,9.42,6.27,27.1,9.7,0.46,9.17,0.1859,4.86,0
V01164,container,6,10.96,4.95,16.08,8.95,5.17,7.84,0.0953,3.65,0
V01165,cargo,4,5.62,2.41,6.93,3.81,4.15,9.53,0.8697,4.35,0
V01166,cargo,1,11.02,3.85,8.57,3.04,3.02,10.57,0.3622,10.42,0
V01167,container,3,11.56,5.01,3.17,6.86,13.09,10.06,0.327,2.4,0
V01168,tanker,9,17.5,5.05,23.6,4.05,14.3,15.0,0.3648,1.57,1
V01169,cargo,2,12.9,0.65,6.05,5.37,15.69,8.48,0.4512,10.6,0
V01170,container,9,12.72,2.02,15.14,7.52,6.7,3.56,0.7847,6.91,0
V01171,tanker,9,14.3,2.14,5.12,6.93,2.26,10.52,0.612,0.93,0
V01172,container,11,8.99,5.71,9.92,7.87,2.82,10.47,0.612,0.5,0
V01173,tanker,12,16.98,7.4,9.83,4.01,28.71,9.2,0.7137,0.9,0
V01174,passenger,8,9.68,3.32,2.15,4.53,0.74,13.36,0.8399,0.53,0
V01175,tanker,12,9.15,6.51,7.97,5.61,6.37,10.87,0.2232,1.85,0
V01176,tanker,4,19.83,4.55,6.71,4.44,0.7,9.44,0.7057,2.55,0
V01177,passenger,12,10.73,2.92,14.37,8.53,4.29,10.17,0.584,0.26,0
V01178,container,7,12.65,1.05,1.74,4.78,11.06,9.37,0.4209,0.06,0
V01179,cargo,7,10.0,6.4,5.47,8.07,6.65,6.55,0.4914,3.86,1
V01180,passenger,12,9.74,10.95,7.94,2.96,14.19,7.85,0.3388,1.32,0
V01181,container,2,10.54,7.9,9.91,6.53,10.44,5.26,0.747,3.99,0
V01182,cargo,7,16.94,12.33,2.74,4.93,5.35,5.3,0.4883,8.41,0
V01183,cargo,10,19.84,2.61,2.07,6.39,11.54,4.4,0.7959,0.41,0
V01184,tanker,10,7.35,2.95,9.02,6.55,6.42,13.16,0.5756,0.7,0
V01185,tanker,12,10.45,0.34,3.74,7.71,10.85,8.88,0.8767,3.9,0
V01186,container,4,10.4,2.09,4.78,7.17,6.3,4.05,0.661,3.72,0
V01187,tanker,9,19.85,8.36,32.15,4.34,19.33,8.5,0.7173,3.03,0
V01188,container,5,10.4,7.17,5.49,7.05,14.44,11.64,0.5097,0.45,0
V01189,container,4,2.14,14.88,11.41,5.94,11.96,9.72,0.5753,1.82,0
V01190,cargo,3,4.99,2.33,2.55,8.82,3.81,7.49,0.0286,7.45,0
V01191,cargo,7,8.38,18.94,3.43,4.25,2.97,6.59,0.4874,6.29,0
V01192,cargo,1,13.8,10.44,6.33,7.46,7.88,5.3,0.2537,9.56,0
V01193,container,10,13.7,0.14,4.05,5.24,23.01,5.16,0.7832,4.0,0
V01194,tanker,6,14.4,8.9,9.97,11.61,5.69,4.85,0.2022,10.5,0
V01195,cargo,7,5.91,4.55,9.02,6.21,8.09,7.29,0.2301,2.91,0
V01196,container,1,10.83,0.36,8.15,5.88,7.49,9.1,0.6945,0.01,1
V01197,cargo,11,16.98,5.07,21.38,10.55,6.8,10.18,0.3735,9.19,0
V01198,container,1,12.75,3.19,23.84,7.59,12.7,11.05,0.9415,3.26,0
V01199,container,7,7.47,3.25,27.56,9.04,7.19,8.53,0.4671,12.22,0
V01200,container,2,10.82,2.43,18.21,4.98,11.57,9.32,0.1045,2.9,0
V01201,passenger,8,11.44,2.81,8.33,7.54,8.38,8.92,0.2663,10.05,0
V01202,container,4,6.91,0.57,4.1,7.53,8.19,10.48,0.0995,4.34,0
V01203,tanker,11,11.74,5.52,6.32,3.99,8.24,3.77,0.5391,2.21,0
V01204,cargo,9,12.29,0.05,29.74,6.93,12.24,10.41,0.1337,3.68,0
V01205,container,8,18.46,7.42,10.08,8.12,11.27,7.11,0.8438,10.57,0
V01206,container,11,9.64,4.89,69.68,4.3,14.7,6.87,0.3253,6.91,1
V01207,cargo,4,9.92,0.24,39.68,4.04,3.46,6.35,0.4491,2.36,0
V01208,container,11,18.79,9.87,3.9,6.96,6.22,8.5,0.8838,3.11,1
V01209,container,10,7.69,0.27,5.59,2.4,11.51,12.79,0.4212,2.71,0
V01210,cargo,11,10.5,5.68,12.1,5.62,8.71,3.16,0.0901,2.88,0
V01211,cargo,3,8.17,3.9,21.9,10.75,6.52,6.1,0.685,3.41,0
V01212,tanker,9,12.6,9.42,8.36,7.41,3.62,10.72,0.183,3.24,0
V01213,container,3,4.0,4.15,14.02,8.19,5.92,6.65,0.7508,0.41,0
V01214,cargo,9,5.38,8.59,48.11,4.33,5.0,3.85,0.2326,16.07,0
V01215,tanker,1,14.43,12.84,10.73,7.17,26.57,12.27,0.5595,0.35,0
V01216,cargo,5,10.83,2.19,5.86,6.93,16.53,9.04,0.472,2.59,0
V01217,container,8,16.17,1.66,11.8,10.94,11.39,8.47,0.734,9.04,0
V01218,cargo,4,18.12,8.03,10.21,6.63,14.1,5.2,0.9204,1.63,0
V01219,container,12,9.03,6.0,10.84,5.98,14.11,10.47,0.3702,10.92,0
V01220,tanker,5,12.23,17.18,12.84,6.37,3.42,8.88,0.5374,0.38,1
V01221,container,8,8.28,7.22,7.19,8.57,6.24,8.75,0.639,3.05,0
V01222,cargo,7,13.59,6.66,16.29,10.09,9.49,14.59,0.2459,1.71,0
V01223,tanker,1,10.36,2.01,14.14,9.55,4.53,6.38,0.8111,2.73,0
V01224,container,1,15.05,0.18,4.19,7.68,13.61,10.63,0.8347,3.17,0
V01225,container,3,16.73,3.03,3.96,8.17,6.7,3.35,0.2886,2.55,0
V01226,cargo,10,10.03,2.09,37.63,10.87,16.43,11.73,0.1805,3.69,0
V01227,tanker,5,13.18,4.3,19.78,5.87,5.65,5.56,0.6597,0.5,0
V01228,passenger,10,14.34,3.08,18.14,9.99,7.43,12.94,0.758,0.23,0
V01229,tanker,11,9.55,8.84,33.46,8.0,7.67,10.35,0.4424,0.09,0
V01230,container,12,14.0,3.26,15.58,10.57,16.66,8.96,0.281,5.23,0
V01231,passenger,3,13.42,0.02,7.22,8.79,3.19,6.86,0.6863,11.69,0
V01232,cargo,9,14.58,6.6,11.13,4.31,5.22,13.13,0.2701,0.92,0
V01233,passenger,8,5.8,1.3,13.59,5.99,15.14,7.22,0.7829,3.43,0
V01234,tanker,10,12.65,7.48,4.25,6.48,2.6,1.95,0.6806,8.11,0
V01235,cargo,9,15.7,11.94,5.9,6.16,13.02,9.12,0.529,4.16,0
V01236,cargo,10,9.17,11.36,7.5,9.29,20.73,5.9,0.586,4.7,0
V01237,tanker,9,9.44,5.1,10.58,6.81,24.42,10.37,0.474,1.26,0
V01238,container,2,10.94,7.46,9.83,8.69,8.31,10.78,0.9261,0.65,0
V01239,passenger,12,11.27,6.12,7.97,9.39,16.7,10.69,0.2115,0.78,0
V01240,tanker,11,6.77,3.87,10.95,8.42,34.09,10.64,0.6358,2.06,0
V01241,cargo,2,8.32,2.6,14.41,10.98,16.97,3.44,0.7539,1.88,0
V01242,cargo,7,10.22,1.07,12.83,1.86,10.2,9.33,0.8315,1.41,0
V01243,passenger,2,10.87,6.03,5.49,6.01,25.95,8.19,0.8322,3.95,0
V01244,passenger,5,7.47,6.68,23.11,6.7,24.0,5.3,0.6584,0.48,0
V01245,cargo,8,19.16,3.16,11.06,6.65,7.53,9.01,0.5705,2.08,0
V01246,container,6,10.1,4.58,34.76,7.89,17.25,9.38,0.3807,1.26,0
V01247,passenger,12,8.64,15.7,53.56,7.24,12.89,4.74,0.521,7.27,1
V01248,container,10,10.78,3.88,7.29,6.77,11.47,5.88,0.3249,0.89,0
V01249,cargo,12,9.33,3.36,5.25,7.19,13.45,10.29,0.6953,1.98,0
V01250,tanker,4,14.84,0.4,7.18,9.63,2.58,8.26,0.4732,8.27,0
V01251,cargo,4,15.26,4.06,4.44,9.26,3.02,9.24,0.7514,2.53,0
V01252,cargo,2,6.91,6.05,4.11,3.78,13.36,8.71,0.3521,4.32,0
V01253,cargo,1,14.63,7.08,7.75,9.19,2.91,13.56,0.116,2.69,0
V01254,cargo,12,17.52,4.3,22.73,7.11,9.75,9.49,0.9001,6.12,0
V01255,cargo,2,3.74,3.68,5.15,9.56,15.07,10.53,0.3843,11.15,0
V01256,cargo,5,16.27,17.49,10.12,10.42,12.85,10.29,0.4465,2.95,1
V01257,tanker,10,18.28,4.34,8.13,4.66,6.52,9.98,0.5191,2.14,1
V01258,container,8,6.84,10.57,7.79,5.03,5.54,11.77,0.6025,1.78,0
V01259,container,7,14.39,2.94,12.88,4.9,13.4,12.45,0.1867,4.12,0
V01260,cargo,6,10.37,5.64,37.37,8.04,5.55,7.65,0.6895,1.57,0
V01261,cargo,1,12.34,5.44,8.73,8.15,7.54,9.41,0.5003,13.02,0
V01262,passenger,10,13.08,7.47,10.16,8.42,10.94,8.34,0.795,7.57,0
V01263,cargo,11,10.79,0.12,10.37,3.79,2.11,5.69,0.7711,1.27,0
V01264,cargo,5,4.72,9.6,7.13,5.94,8.68,4.61,0.9171,3.79,0
V01265,passenger,2,14.89,5.98,21.05,7.6,15.61,9.54,0.2045,5.29,0
V01266,cargo,10,12.82,7.52,21.01,6.16,5.22,8.3,0.8537,0.51,0
V01267,cargo,10,15.15,9.58,5.17,5.11,21.38,6.01,0.619,0.65,0
V01268,container,8,14.82,2.39,12.48,8.18,3.7,6.11,0.7431,8.32,0
V01269,cargo,4,15.69,2.54,8.9,5.2,11.7,8.91,0.5111,2.35,0
V01270,container,10,5.91,11.64,12.22,6.19,7.44,6.68,0.7453,0.97,1
V01271,cargo,9,10.02,4.33,16.34,6.3,1.84,11.48,0.643,5.98,0
V01272,tanker,5,14.5,3.03,17.3,8.86,4.62,3.51,0.5466,10.04,0
V01273,cargo,9,12.33,5.38,3.95,9.64,9.82,10.48,0.4304,1.38,0
V01274,container,1,9.5,5.38,8.69,9.49,7.17,9.47,0.8995,11.66,0
V01275,tanker,10,9.77,8.71,3.91,8.2,9.63,15.0,0.5435,7.54,0
V01276,cargo,8,11.85,8.37,4.65,9.36,11.04,9.09,0.6657,0.76,0
V01277,container,2,14.93,9.23,33.17,7.56,5.8,9.63,0.1211,4.9,0
V01278,cargo,12,7.83,3.69,22.61,5.87,13.82,10.21,0.3344,3.83,0
V01279,cargo,1,11.49,2.0,31.92,9.01,4.56,7.93,0.4261,0.29,0
V01280,tanker,6,7.66,5.43,5.66,3.94,18.52,6.48,0.6629,28.12,0
V01281,tanker,8,17.87,5.78,14.8,8.03,15.03,8.41,0.5806,0.74,0
V01282,container,11,11.13,7.17,3.0,8.85,1.26,15.0,0.9385,0.79,0
V01283,passenger,10,9.6,4.19,12.27,11.59,8.29,4.82,0.4981,0.04,0
V01284,passenger,9,12.64,15.49,13.67,8.54,6.73,10.12,0.7094,3.28,0
V01285,container,11,16.53,0.97,13.89,6.78,13.7,9.78,0.8736,8.67,0
V01286,tanker,2,11.91,1.02,4.47,7.72,16.26,3.7,0.6118,1.26,0
V01287,passenger,6,9.54,5.94,8.5,5.74,24.55,3.63,0.2405,0.39,0
V01288,container,7,12.06,9.29,7.16,9.69,0.7,6.13,0.7578,1.59,0
V01289,container,10,9.56,5.4,8.14,9.12,16.84,6.12,0.2714,0.75,0
V01290,cargo,5,9.47,7.89,18.62,8.72,1.28,10.81,0.2206,2.1,0
V01291,tanker,5,12.17,1.57,12.99,8.12,20.58,4.77,0.2353,4.69,0
V01292,tanker,11,10.31,5.23,6.16,6.69,0.95,2.21,0.0823,0.87,0
V01293,cargo,2,14.94,1.13,14.41,6.02,18.21,2.8,0.4708,1.38,1
V01294,cargo,1,14.09,0.98,5.14,7.43,8.1,10.36,0.7,1.06,0
V01295,cargo,10,9.92,0.04,3.32,7.62,3.89,11.29,0.6099,4.24,0
V01296,cargo,3,5.58,8.76,15.39,8.6,8.97,8.63,0.8431,0.66,0
V01297,passenger,2,13.5,3.72,4.08,5.67,8.57,12.03,0.7819,4.26,0
V01298,cargo,8,6.04,7.48,9.72,5.09,17.48,11.38,0.5002,1.49,0
V01299,cargo,3,10.95,1.93,8.18,9.31,13.28,15.0,0.4069,16.37,0
V01300,container,12,9.05,1.38,21.99,10.21,6.09,8.19,0.5625,3.88,0
V01301,cargo,12,9.65,0.84,18.52,6.19,6.9,8.41,0.8539,6.09,0
V01302,container,2,15.24,7.86,42.47,6.28,17.25,8.29,0.1783,1.73,0
V01303,tanker,9,11.11,3.14,25.61,7.28,15.85,8.87,0.1333,6.26,1
V01304,cargo,7,10.35,8.6,18.35,5.05,5.44,7.93,0.7618,3.73,1
V01305,container,3,12.39,9.18,6.03,8.85,3.99,6.37,0.9011,4.87,0
V01306,passenger,10,11.42,4.26,4.48,7.71,8.41,9.56,0.3006,6.0,0
V01307,container,10,5.07,3.5,5.82,7.23,1.06,4.26,0.8455,11.56,0
V01308,passenger,6,7.35,2.54,8.21,9.09,9.29,7.41,0.2834,5.5,0
V01309,cargo,7,8.72,6.6,4.54,4.71,5.37,8.05,0.486,0.6,0
V01310,container,11,9.36,2.34,1.58,9.83,5.69,6.62,0.4181,7.01,0
V01311,passenger,6,11.5,3.69,12.39,9.09,6.39,6.84,0.8282,0.39,0
V01312,container,6,10.51,8.29,21.06,10.86,5.85,7.48,0.7355,8.53,0
V01313,container,4,13.2,9.14,6.17,7.2,3.87,5.26,0.7253,2.09,0
V01314,tanker,5,9.82,7.16,43.65,10.2,13.25,11.34,0.4479,1.68,0
V01315,container,9,13.35,4.68,13.62,9.73,11.15,9.33,0.4475,3.39,0
V01316,cargo,10,13.16,7.15,22.19,7.13,3.75,12.9,0.7931,2.4,0
V01317,tanker,1,7.52,2.96,13.07,9.38,20.4,10.26,0.5503,4.33,0
V01318,container,6,11.68,0.48,13.23,8.54,0.59,8.73,0.5204,1.68,0
V01319,container,8,11.98,4.59,7.55,8.12,19.59,5.73,0.1879,0.16,0
V01320,container,12,15.29,9.82,16.31,7.35,4.92,6.28,0.8839,7.14,0
V01321,cargo,3,11.89,5.51,14.88,8.36,5.01,9.13,0.7862,4.92,0
V01322,container,6,10.79,3.8,1.72,9.57,11.42,3.5,0.5025,2.64,0
V01323,container,10,6.47,0.9,30.25,6.36,15.77,7.21,0.6407,6.52,0
V01324,cargo,12,12.62,0.53,7.55,8.31,4.73,5.45,0.5669,3.33,1
V01325,cargo,7,8.67,2.77,4.02,6.24,3.14,8.69,0.4571,3.98,0
V01326,tanker,5,10.8,5.32,10.94,9.0,7.48,12.29,0.5017,9.85,1
V01327,passenger,11,9.82,10.6,4.42,6.05,12.79,12.13,0.3855,3.29,0
V01328,cargo,9,8.45,6.76,6.28,6.27,5.09,9.92,0.3539,10.41,0
V01329,cargo,12,10.87,6.86,10.7,9.52,11.34,11.86,0.637,8.61,0
V01330,cargo,3,9.58,5.41,5.44,8.85,4.72,6.81,0.3537,4.31,0
V01331,cargo,9,7.34,5.43,23.61,3.01,4.91,10.45,0.4545,6.11,0
V01332,tanker,10,9.39,5.28,6.88,9.55,21.1,8.2,0.5612,15.23,0
V01333,passenger,4,11.01,8.16,8.26,9.21,2.99,5.53,0.6547,2.61,0
V01334,cargo,3,9.9,1.67,11.41,2.74,7.14,7.79,0.297,2.4,0
V01335,container,5,10.76,3.67,12.67,3.29,12.26,7.61,0.9641,3.33,0
V01336,tanker,1,6.04,16.9,9.01,9.86,3.17,9.88,0.6711,0.67,0
V01337,tanker,1,12.46,0.2,7.89,3.89,13.1,13.48,0.3874,4.36,0
V01338,cargo,6,7.82,22.84,18.34,7.67,2.84,8.07,0.3556,0.35,0
V01339,container,9,13.99,3.39,7.29,11.99,12.08,6.04,0.7084,8.75,0
V01340,passenger,6,11.14,0.96,3.52,6.48,13.11,11.02,0.7729,8.4,0
V01341,tanker,1,12.75,2.36,7.41,5.65,15.31,8.46,0.5488,4.1,0
V01342,cargo,12,12.75,4.84,13.69,5.97,6.21,9.03,0.745,4.58,0
V01343,container,12,12.46,7.72,3.34,4.82,7.12,7.0,0.1997,0.89,0
V01344,cargo,8,8.75,6.29,5.31,6.35,0.64,7.36,0.4066,10.23,0
V01345,tanker,9,8.42,7.65,7.16,4.58,3.66,7.44,0.4239,3.14,0
V01346,tanker,11,11.28,1.38,24.0,14.19,1.52,12.23,0.2056,5.34,0
V01347,cargo,7,11.88,4.42,5.29,6.73,5.91,8.23,0.3729,2.4,0
V01348,cargo,8,7.12,7.61,10.75,9.78,16.07,10.56,0.5407,2.35,0
V01349,cargo,2,12.41,0.73,34.97,6.32,10.24,13.49,0.7061,14.06,0
V01350,cargo,9,10.77,2.74,23.34,6.37,5.12,8.52,0.7569,2.54,0
V01351,cargo,9,14.53,12.48,6.19,5.91,2.49,6.91,0.3402,0.69,0
V01352,cargo,6,15.08,2.1,9.35,11.04,15.5,10.09,0.3878,2.47,0
V01353,tanker,7,12.29,1.16,10.57,8.93,8.36,11.5,0.5006,3.76,1
V01354,tanker,4,11.62,16.88,3.37,5.51,6.24,1.91,0.1782,9.31,0
V01355,cargo,1,11.28,3.46,17.91,8.41,9.43,7.41,0.9399,8.94,0
V01356,container,10,9.45,6.34,8.91,7.44,7.1,13.39,0.6639,9.36,1
V01357,cargo,7,8.54,4.74,7.82,6.71,5.77,6.35,0.7547,15.16,0
V01358,cargo,11,8.99,8.14,4.44,9.83,10.45,6.62,0.4987,2.32,0
V01359,cargo,10,9.18,7.05,6.1,8.31,5.39,5.89,0.588,0.62,0
V01360,passenger,7,12.78,2.05,4.77,6.46,0.64,6.89,0.9177,2.54,0
V01361,cargo,2,8.75,8.39,2.65,4.79,4.72,8.18,0.9615,2.49,0
V01362,cargo,7,10.55,3.65,15.36,7.58,6.32,14.03,0.5915,4.18,0
V01363,container,6,11.06,9.07,33.9,9.53,3.52,7.89,0.5583,4.04,0
V01364,tanker,12,10.35,14.31,15.24,7.94,16.74,5.02,0.1834,15.55,0
V01365,cargo,12,11.67,0.95,4.56,10.96,6.67,10.31,0.1606,0.8,0
V01366,container,10,9.7,0.75,7.42,3.98,7.1,9.56,0.9021,4.46,0
V01367,cargo,8,10.87,3.51,7.27,5.39,4.57,6.89,0.4771,1.08,0
V01368,passenger,2,9.65,5.24,7.15,6.39,4.91,5.35,0.5256,2.87,0
V01369,cargo,4,12.25,5.6,10.03,11.67,5.07,6.02,0.2608,9.06,0
V01370,tanker,10,7.17,12.68,10.1,7.28,18.47,10.35,0.5492,1.72,0
V01371,cargo,5,21.17,0.03,5.55,3.34,7.64,11.32,0.411,2.3,1
V01372,tanker,10,9.64,0.34,4.39,6.47,10.56,11.8,0.2427,0.67,1
V01373,container,5,14.12,4.49,18.27,7.38,0.23,7.09,0.7112,2.43,0
V01374,cargo,12,17.68,1.53,3.47,9.3,15.03,15.0,0.93,4.12,0
V01375,passenger,10,9.61,5.26,5.84,6.62,4.22,7.03,0.4492,0.76,0
V01376,passenger,4,11.09,7.12,6.57,12.38,7.45,8.65,0.8702,3.24,0
V01377,container,9,10.45,2.01,23.14,10.2,2.34,6.66,0.3752,5.62,0
V01378,container,11,14.13,2.61,19.26,11.53,5.68,7.48,0.8142,0.98,0
V01379,passenger,4,17.94,1.8,4.26,9.65,6.4,11.97,0.9893,0.98,0
V01380,cargo,2,13.93,1.52,4.61,7.62,4.62,7.15,0.5878,2.33,0
V01381,passenger,6,13.21,10.54,5.01,8.53,9.58,3.84,0.6015,1.87,1
V01382,passenger,4,15.08,3.23,11.51,5.48,5.07,7.1,0.4782,4.52,0
V01383,cargo,4,16.78,7.85,11.27,11.44,12.01,5.99,0.6776,1.52,0
V01384,tanker,5,9.47,0.01,19.32,6.1,2.66,11.19,0.7051,11.22,0
V01385,container,4,13.45,7.94,5.26,7.93,11.11,11.89,0.2711,1.58,0
V01386,tanker,4,11.26,0.3,5.36,11.05,20.84,8.18,0.5549,5.54,0
V01387,tanker,11,13.35,10.11,33.84,2.61,10.53,12.84,0.752,2.1,0
V01388,cargo,11,16.62,15.5,7.82,4.66,9.47,12.98,0.4534,0.33,1
V01389,tanker,11,14.77,2.08,6.16,10.13,10.02,12.22,0.3125,0.74,0
V01390,cargo,3,10.58,8.18,10.28,8.5,10.95,9.01,0.5388,7.14,0
V01391,tanker,11,8.42,0.63,5.94,6.01,7.27,6.1,0.3559,3.7,0
V01392,container,4,11.18,2.91,14.31,5.86,4.33,11.33,0.514,1.42,0
V01393,container,1,13.22,2.6,13.49,10.02,5.99,8.79,0.8885,0.88,0
V01394,cargo,8,7.69,6.26,11.38,4.11,2.67,1.01,0.926,0.61,0
V01395,cargo,10,9.88,7.11,6.16,6.0,14.86,5.39,0.7406,10.57,0
V01396,cargo,5,11.84,0.69,40.08,6.73,5.41,10.64,0.6896,1.37,0
V01397,container,5,8.57,14.67,2.36,7.65,0.94,5.55,0.2807,1.11,0
V01398,container,11,12.5,6.68,26.9,7.49,19.16,8.2,0.4285,0.78,0
V01399,cargo,2,9.86,1.81,4.88,7.48,6.68,7.58,0.5164,3.7,0
V01400,cargo,6,11.09,0.66,1.51,4.13,10.7,15.0,0.5509,1.35,0
V01401,cargo,3,11.79,2.31,38.48,6.92,21.17,1.28,0.4965,8.87,0
V01402,container,4,14.08,14.75,3.74,5.15,5.85,4.44,0.746,0.48,0
V01403,passenger,12,7.7,1.6,8.13,8.6,17.25,11.76,0.5969,0.58,1
V01404,cargo,3,9.22,5.0,19.46,9.65,9.43,12.22,0.398,7.17,0
V01405,container,7,11.06,5.21,14.91,8.47,2.77,3.58,0.7873,5.01,0
V01406,cargo,12,14.43,1.14,20.92,3.65,5.17,10.15,0.5134,2.73,1
V01407,passenger,6,5.83,4.19,11.33,7.84,18.7,7.08,0.5226,2.65,0
V01408,container,12,9.91,8.0,8.24,8.67,5.24,6.14,0.0536,1.19,0
V01409,container,8,12.26,2.28,8.32,5.02,9.9,2.93,0.2006,1.11,0
V01410,tanker,3,10.4,3.03,7.32,4.18,14.85,8.09,0.3067,5.26,0
V01411,cargo,3,12.38,10.99,31.62,7.28,9.76,7.1,0.2196,5.83,0
V01412,cargo,8,12.67,7.17,104.6,8.71,12.3,5.26,0.912,5.0,0
V01413,cargo,4,13.71,3.54,17.17,12.83,3.0,9.05,0.501,2.91,0
V01414,container,3,11.64,2.87,10.91,9.82,4.43,2.95,0.4125,3.13,0
V01415,container,1,11.83,4.28,4.9,9.3,2.81,0.67,0.6291,4.31,0
V01416,passenger,12,11.16,2.79,28.54,10.4,4.65,3.43,0.2806,6.45,0
V01417,tanker,6,15.62,0.57,19.82,2.12,3.84,6.13,0.7009,0.36,1
V01418,container,4,12.37,1.91,10.8,7.93,6.86,10.23,0.7876,2.0,0
V01419,cargo,11,14.34,1.62,19.88,6.27,7.55,7.29,0.194,3.57,0
V01420,cargo,9,11.99,7.02,6.32,5.19,13.68,6.86,0.659,1.04,0
V01421,cargo,6,11.99,3.45,2.47,5.79,2.83,4.63,0.4398,1.34,0
V01422,tanker,3,10.78,7.05,5.17,7.52,15.25,9.74,0.5401,4.02,0
V01423,tanker,9,12.31,6.11,6.93,7.59,6.81,11.99,0.2779,1.04,0
V01424,tanker,11,12.9,0.9,23.72,10.01,19.33,6.47,0.6464,2.63,0
V01425,tanker,2,12.42,9.05,9.94,6.21,10.68,8.47,0.2381,0.09,0
V01426,cargo,8,9.87,5.92,6.41,6.99,6.81,8.97,0.8905,2.7,0
V01427,container,2,8.72,5.0,9.38,11.94,4.29,4.07,0.4444,0.91,0
V01428,cargo,11,11.61,4.41,4.21,9.97,7.11,11.6,0.912,9.22,0
V01429,cargo,8,10.94,5.98,6.21,10.13,5.47,5.03,0.5105,1.51,0
V01430,container,10,16.49,3.44,3.18,10.05,8.76,1.0,0.5636,1.72,0
V01431,passenger,4,14.1,10.97,4.86,5.07,8.76,7.97,0.9417,4.37,0
V01432,container,12,9.36,7.88,61.99,6.74,5.72,10.7,0.2896,11.55,0
V01433,tanker,4,9.38,8.98,4.07,1.61,7.71,8.52,0.2578,1.22,0
V01434,tanker,12,10.89,3.96,8.43,3.38,9.8,11.4,0.2817,2.16,0
